 , , , , , , , , , 
,,,,,,,,,
Category,Discipline,Subject,SourceType,ISSN,PublicationName,IndexingStart,IndexingStop,FullTextStart,FullTextStop
Health & Medicine,Medical Sciences,Molecular Imaging,Academic Journal,2146-1414,Molecular Imaging & Radionuclide Therapy,01/01/2012,,01/01/2012,
Technology,Technology by Type,Molecular Imaging,Academic Journal,2146-1414,Molecular Imaging & Radionuclide Therapy,01/01/2012,,01/01/2012,
Science,Chemistry,Molecular Biology,Academic Journal,0968-7688,Molecular Membrane Biology,01/01/1999,,01/01/1999,
Science,Life Sciences,Molecular Biology,Academic Journal,0968-7688,Molecular Membrane Biology,01/01/1999,,01/01/1999,
Health & Medicine,Medical Sciences,Molecular Biology,Academic Journal,0968-7688,Molecular Membrane Biology,01/01/1999,,01/01/1999,
Technology,Biotechnology,Membranology,Academic Journal,0968-7688,Molecular Membrane Biology,01/01/1999,,01/01/1999,
Science,Life Sciences,Membranology,Academic Journal,0968-7688,Molecular Membrane Biology,01/01/1999,,01/01/1999,
Health & Medicine,Medical Sciences,Membranology,Academic Journal,0968-7688,Molecular Membrane Biology,01/01/1999,,01/01/1999,
Science,Life Sciences,Microbiology,Academic Journal,0950-382X,Molecular Microbiology,01/01/1998,,01/01/1998,
Health & Medicine,Medical Sciences,Microbiology,Academic Journal,0950-382X,Molecular Microbiology,01/01/1998,,01/01/1998,
Science,Chemistry,Molecular Biology,Academic Journal,0950-382X,Molecular Microbiology,01/01/1998,,01/01/1998,
Science,Life Sciences,Molecular Biology,Academic Journal,0950-382X,Molecular Microbiology,01/01/1998,,01/01/1998,
Health & Medicine,Medical Sciences,Molecular Biology,Academic Journal,0950-382X,Molecular Microbiology,01/01/1998,,01/01/1998,
Science,Chemistry,Molecular Biology,Academic Journal,1750-1326,Molecular Neurodegeneration,01/01/2006,,01/01/2006,
Science,Life Sciences,Molecular Biology,Academic Journal,1750-1326,Molecular Neurodegeneration,01/01/2006,,01/01/2006,
Health & Medicine,Medical Sciences,Molecular Biology,Academic Journal,1750-1326,Molecular Neurodegeneration,01/01/2006,,01/01/2006,
Health & Medicine,Medical Sciences,Neurology,Academic Journal,1750-1326,Molecular Neurodegeneration,01/01/2006,,01/01/2006,
Health & Medicine,Clinical Specialties,Neurology,Academic Journal,1750-1326,Molecular Neurodegeneration,01/01/2006,,01/01/2006,
Health & Medicine,Diseases & Conditions,Degenerative Diseases,Academic Journal,1750-1326,Molecular Neurodegeneration,01/01/2006,,01/01/2006,
Health & Medicine,Clinical Specialties,Pain & Pain Management,Academic Journal,1744-8069,Molecular Pain,01/01/2005,,01/01/2005,
Science,Life Sciences,Botany,Academic Journal,1674-2052,Molecular Plant,01/01/2008,,01/01/2008,
Science,Chemistry,Molecular Biology,Academic Journal,1464-6722,Molecular Plant Pathology,01/01/2000,,01/01/2000,
Science,Life Sciences,Molecular Biology,Academic Journal,1464-6722,Molecular Plant Pathology,01/01/2000,,01/01/2000,
Health & Medicine,Medical Sciences,Molecular Biology,Academic Journal,1464-6722,Molecular Plant Pathology,01/01/2000,,01/01/2000,
Science,Life Sciences,Plant Pathology,Academic Journal,1464-6722,Molecular Plant Pathology,01/01/2000,,01/01/2000,
Health & Medicine,Clinical Specialties,Plant Pathology,Academic Journal,1464-6722,Molecular Plant Pathology,01/01/2000,,01/01/2000,
Health & Medicine,Clinical Specialties,Psychiatry,Academic Journal,1359-4184,Molecular Psychiatry,01/01/1997,,01/01/1997,
Science,Chemistry,Molecular Biology,Academic Journal,1744-4292,Molecular Systems Biology,03/01/2005,,03/01/2005,
Science,Life Sciences,Molecular Biology,Academic Journal,1744-4292,Molecular Systems Biology,03/01/2005,,03/01/2005,
Health & Medicine,Medical Sciences,Molecular Biology,Academic Journal,1744-4292,Molecular Systems Biology,03/01/2005,,03/01/2005,
Science,Life Sciences,Systems Biology,Academic Journal,1744-4292,Molecular Systems Biology,03/01/2005,,03/01/2005,
Science,Chemistry,Organic Chemistry,Academic Journal,1420-3049,Molecules,03/01/2009,,03/01/2009,
Science,Chemistry,Natural Products,Academic Journal,1420-3049,Molecules,03/01/2009,,03/01/2009,
Science,Life Sciences,Natural Products,Academic Journal,1420-3049,Molecules,03/01/2009,,03/01/2009,
Science,Chemistry,Synthetic Chemistry,Academic Journal,1420-3049,Molecules,03/01/2009,,03/01/2009,
Science,Life Sciences,Histology,Academic Journal,1016-8478,Molecules & Cells,01/01/1999,,01/01/1999,
Health & Medicine,Medical Sciences,Histology,Academic Journal,1016-8478,Molecules & Cells,01/01/1999,,01/01/1999,
Science,Chemistry,Molecular Biology,Academic Journal,1016-8478,Molecules & Cells,01/01/1999,,01/01/1999,
Science,Life Sciences,Molecular Biology,Academic Journal,1016-8478,Molecules & Cells,01/01/1999,,01/01/1999,
Health & Medicine,Medical Sciences,Molecular Biology,Academic Journal,1016-8478,Molecules & Cells,01/01/1999,,01/01/1999,
Science,Science (General),Science (General),Academic Journal,2073-073X,Momona Ethiopian Journal of Science,07/01/2012,,07/01/2012,
Politics & Government,Law,Law,Academic Journal,0311-3140,Monash University Law Review,10/01/2009,,10/01/2009,
Social Sciences & Humanities,Law,Law,Academic Journal,0311-3140,Monash University Law Review,10/01/2009,,10/01/2009,
Social Sciences & Humanities,Area Studies,Germanic Studies,Academic Journal,0026-9271,Monatshefte,03/01/1997,,03/01/1997,
Business,"Banking, Finance & Investing",Central Banking,Academic Journal,0185-1136,Monetaria,01/01/1978,,01/01/1978,
Politics & Government,Public Policy & Administration,Central Banking,Academic Journal,0185-1136,Monetaria,01/01/1978,,01/01/1978,
Social Sciences & Humanities,Public Policy & Administration,Central Banking,Academic Journal,0185-1136,Monetaria,01/01/1978,,01/01/1978,
Religion & Philosophy,Philosophy Branches,Ethics,Academic Journal,0026-9662,Monist,01/01/1990,,01/01/1990,
Religion & Philosophy,Philosophy Branches,Modern Philosophy,Academic Journal,0026-9662,Monist,01/01/1990,,01/01/1990,
Social Sciences & Humanities,Psychology,Child & Adolescent Psychology,Academic Journal,0037-976X,Monographs of the Society for Research in Child Development,01/01/1985,,03/01/1999,
Health & Medicine,Clinical Specialties,Child & Adolescent Psychology,Academic Journal,0037-976X,Monographs of the Society for Research in Child Development,01/01/1985,,03/01/1999,
Health & Medicine,Clinical Specialties,Pediatric Medicine,Academic Journal,0037-976X,Monographs of the Society for Research in Child Development,01/01/1985,,03/01/1999,
Science,Earth & Atmospheric Sciences,Environmental Sciences,Academic Journal,1545-0228,Monographs of the Western North American Naturalist,01/01/2010,,01/01/2011,
Science,Life Sciences,Environmental Sciences,Academic Journal,1545-0228,Monographs of the Western North American Naturalist,01/01/2010,,01/01/2011,
Science,Mathematics,Mathematics,Academic Journal,,Montana Mathematics Enthusiast,07/01/2006,06/30/2011,07/01/2006,06/30/2011
Science,Mathematics,Mathematical Models,Academic Journal,0929-9629,Monte Carlo Methods & Applications,01/01/1999,,01/01/1999,
Science,Aerospace Sciences,Astronomy,Academic Journal,0035-8711,Monthly Notices of the Royal Astronomical Society,01/01/1999,,01/01/1999,12/31/2012
Science,Aerospace Sciences,Astrophysics,Academic Journal,0035-8711,Monthly Notices of the Royal Astronomical Society,01/01/1999,,01/01/1999,12/31/2012
Science,Physics,Astrophysics,Academic Journal,0035-8711,Monthly Notices of the Royal Astronomical Society,01/01/1999,,01/01/1999,12/31/2012
Science,Earth & Atmospheric Sciences,Weather & Climate,Academic Journal,0027-0644,Monthly Weather Review,01/01/1997,,01/01/1997,
Religion & Philosophy,Christianity,Catholicism,Academic Journal,0210-0851,Moralia,01/01/2009,,01/01/2009,
Religion & Philosophy,Philosophy Branches,Ethics,Academic Journal,0210-0851,Moralia,01/01/2009,,01/01/2009,
Literature & Writing,Literary Media,Book Reviews,Academic Journal,2156-8022,Mormon Studies Review,01/01/2013,,01/01/2013,
Religion & Philosophy,Christianity,Mormonism,Academic Journal,2156-8022,Mormon Studies Review,01/01/2013,,01/01/2013,
Health & Medicine,Health & Medicine (General),Death,Academic Journal,1357-6275,Mortality,03/01/1996,,03/01/1996,
Science,Life Sciences,Death,Academic Journal,1357-6275,Mortality,03/01/1996,,03/01/1996,
Social Sciences & Humanities,Psychology,Human Behavior,Academic Journal,0146-7239,Motivation & Emotion,01/01/1995,,03/01/1997,
Health & Medicine,Clinical Specialties,Human Behavior,Academic Journal,0146-7239,Motivation & Emotion,01/01/1995,,03/01/1997,
Social Sciences & Humanities,Psychology,Psychology,Academic Journal,0146-7239,Motivation & Emotion,01/01/1995,,03/01/1997,
Health & Medicine,Clinical Specialties,Psychology,Academic Journal,0146-7239,Motivation & Emotion,01/01/1995,,03/01/1997,
Home & Living,Exercise & Fitness,Exercise & Fitness,Academic Journal,1646-107X,Motricidade,01/01/2007,,01/01/2007,
Sports & Leisure,Exercise & Fitness,Exercise & Fitness,Academic Journal,1646-107X,Motricidade,01/01/2007,,01/01/2007,
Health & Medicine,Exercise & Fitness,Exercise & Fitness,Academic Journal,1646-107X,Motricidade,01/01/2007,,01/01/2007,
Sports & Leisure,Sports Medicine,Sports Medicine,Academic Journal,1646-107X,Motricidade,01/01/2007,,01/01/2007,
Health & Medicine,Clinical Specialties,Sports Medicine,Academic Journal,1646-107X,Motricidade,01/01/2007,,01/01/2007,
Health & Medicine,Health & Medicine (General),Health & Medicine (General),Academic Journal,0027-2507,Mount Sinai Journal of Medicine,10/01/2002,12/31/2012,10/01/2002,12/31/2012
Health & Medicine,Medical Sciences,Immunology,Academic Journal,1933-0219,Mucosal Immunology (1933-0219),01/01/2009,,01/01/2009,
Social Sciences & Humanities,Ethnic & Cultural Studies,Ethnic & Cultural Studies,Academic Journal,1521-0960,Multicultural Perspectives,01/01/1999,,01/01/1999,
Technology,Engineering,Materials Engineering,Academic Journal,1573-6105,Multidiscipline Modeling in Materials & Structures (Brill Academic Publishers),01/01/2005,12/31/2009,03/01/2005,12/31/2009
Health & Medicine,Diseases & Conditions,Multiple Sclerosis,Academic Journal,1352-4585,Multiple Sclerosis (13524585),01/01/1998,12/31/2010,02/01/1998,12/31/2010
Health & Medicine,Diseases & Conditions,Multiple Sclerosis,Academic Journal,2090-2654,Multiple Sclerosis International,01/01/2010,,01/01/2010,
Health & Medicine,Diseases & Conditions,Multiple Sclerosis,Academic Journal,1352-4585,Multiple Sclerosis Journal,01/01/2011,,01/01/2011,
Science,Mathematics,Applied Mathematics,Academic Journal,1540-3459,Multiscale Modeling & Simulation,01/01/2003,,01/01/2003,07/08/2011
Science,Applied Sciences,Applied Mathematics,Academic Journal,1540-3459,Multiscale Modeling & Simulation,01/01/2003,,01/01/2003,07/08/2011
Social Sciences & Humanities,Psychology,Senses & Sensation,Academic Journal,2213-4794,Multisensory Research,01/01/2013,,01/01/2013,
Health & Medicine,Medical Sciences,Senses & Sensation,Academic Journal,2213-4794,Multisensory Research,01/01/2013,,01/01/2013,
Health & Medicine,Clinical Specialties,Senses & Sensation,Academic Journal,2213-4794,Multisensory Research,01/01/2013,,01/01/2013,
Health & Medicine,Clinical Specialties,Orthopedic Medicine,Academic Journal,,"Muscles, Ligaments & Tendons Journal (MLTJ)",01/01/2012,,01/01/2012,
Sports & Leisure,Sports Medicine,Sports Medicine,Academic Journal,,"Muscles, Ligaments & Tendons Journal (MLTJ)",01/01/2012,,01/01/2012,
Health & Medicine,Clinical Specialties,Sports Medicine,Academic Journal,,"Muscles, Ligaments & Tendons Journal (MLTJ)",01/01/2012,,01/01/2012,
Health & Medicine,Clinical Specialties,Musculoskeletal Medicine,Academic Journal,1478-2189,Musculoskeletal Care,03/01/2004,,03/01/2004,
Social Sciences & Humanities,Anthropology,Anthropology,Academic Journal,0892-8339,Museum Anthropology,04/01/2008,,04/01/2008,
Business,Management,Museum Management & Curatorship,Academic Journal,0892-8339,Museum Anthropology,04/01/2008,,04/01/2008,
Arts & Entertainment,Visual Arts,Museum Management & Curatorship,Academic Journal,0892-8339,Museum Anthropology,04/01/2008,,04/01/2008,
Science,Science (General),Museum Management & Curatorship,Academic Journal,0892-8339,Museum Anthropology,04/01/2008,,04/01/2008,
History,Historical Education & Research,Museum Management & Curatorship,Academic Journal,0892-8339,Museum Anthropology,04/01/2008,,04/01/2008,
Education,Educational Institutions,Museum Management & Curatorship,Academic Journal,0892-8339,Museum Anthropology,04/01/2008,,04/01/2008,
Business,Management,Museum Management & Curatorship,Academic Journal,1350-0775,Museum International,01/01/1998,12/31/2011,01/01/1998,12/31/2011
Arts & Entertainment,Visual Arts,Museum Management & Curatorship,Academic Journal,1350-0775,Museum International,01/01/1998,12/31/2011,01/01/1998,12/31/2011
Science,Science (General),Museum Management & Curatorship,Academic Journal,1350-0775,Museum International,01/01/1998,12/31/2011,01/01/1998,12/31/2011
History,Historical Education & Research,Museum Management & Curatorship,Academic Journal,1350-0775,Museum International,01/01/1998,12/31/2011,01/01/1998,12/31/2011
Education,Educational Institutions,Museum Management & Curatorship,Academic Journal,1350-0775,Museum International,01/01/1998,12/31/2011,01/01/1998,12/31/2011
Science,Science (General),Science (General),Academic Journal,1833-0290,Museum Victoria Science Reports,01/01/2010,,01/01/2010,
Social Sciences & Humanities,Anthropology,Musicology & Ethnomusicology,Academic Journal,0262-5245,Music Analysis,01/01/2003,,03/01/2003,
Arts & Entertainment,Music,Musicology & Ethnomusicology,Academic Journal,0262-5245,Music Analysis,01/01/2003,,03/01/2003,
Social Sciences & Humanities,Sociology,Musicology & Ethnomusicology,Academic Journal,0262-5245,Music Analysis,01/01/2003,,03/01/2003,
Arts & Entertainment,Music,Music Education & Instruction,Academic Journal,1461-3808,Music Education Research,03/01/1999,,03/01/1999,
Arts & Entertainment,Arts Education,Music Education & Instruction,Academic Journal,1461-3808,Music Education Research,03/01/1999,,03/01/1999,
Education,Subject Specific Education,Music Education & Instruction,Academic Journal,1461-3808,Music Education Research,03/01/1999,,03/01/1999,
Arts & Entertainment,Music,Music Education & Instruction,Academic Journal,0027-4321,Music Educators Journal,01/01/1990,,01/01/1990,
Arts & Entertainment,Arts Education,Music Education & Instruction,Academic Journal,0027-4321,Music Educators Journal,01/01/1990,,01/01/1990,
Education,Subject Specific Education,Music Education & Instruction,Academic Journal,0027-4321,Music Educators Journal,01/01/1990,,01/01/1990,
Arts & Entertainment,Music,Music,Academic Journal,1755-9219,Music Performance Research,01/01/2009,,01/01/2009,
Arts & Entertainment,Music,Music Theory,Academic Journal,1067-3040,Music Theory Online,04/01/2012,,04/01/2012,
Social Sciences & Humanities,Anthropology,Musicology & Ethnomusicology,Academic Journal,1711-9235,Musicological Explorations,01/01/2006,,05/01/2007,
Arts & Entertainment,Music,Musicology & Ethnomusicology,Academic Journal,1711-9235,Musicological Explorations,01/01/2006,,05/01/2007,
Social Sciences & Humanities,Sociology,Musicology & Ethnomusicology,Academic Journal,1711-9235,Musicological Explorations,01/01/2006,,05/01/2007,
Social Sciences & Humanities,Anthropology,Musicology & Ethnomusicology,Academic Journal,1512-2018,Musicology & Cultural Science,01/01/2013,,01/01/2013,
Arts & Entertainment,Music,Musicology & Ethnomusicology,Academic Journal,1512-2018,Musicology & Cultural Science,01/01/2013,,01/01/2013,
Social Sciences & Humanities,Sociology,Musicology & Ethnomusicology,Academic Journal,1512-2018,Musicology & Cultural Science,01/01/2013,,01/01/2013,
Social Sciences & Humanities,Anthropology,Musicology & Ethnomusicology,Academic Journal,1824-7199,Musike. International Journal of Ethnomusicological Studies,04/01/2007,,04/01/2007,
Arts & Entertainment,Music,Musicology & Ethnomusicology,Academic Journal,1824-7199,Musike. International Journal of Ethnomusicological Studies,04/01/2007,,04/01/2007,
Social Sciences & Humanities,Sociology,Musicology & Ethnomusicology,Academic Journal,1824-7199,Musike. International Journal of Ethnomusicological Studies,04/01/2007,,04/01/2007,
Religion & Philosophy,Religion & Philosophy (General),Interfaith Relations,Academic Journal,0027-4909,Muslim World,01/01/1994,,01/01/2000,
Religion & Philosophy,Islam,Middle Eastern & Islamic Studies,Academic Journal,0027-4909,Muslim World,01/01/1994,,01/01/2000,
Social Sciences & Humanities,Area Studies,Middle Eastern & Islamic Studies,Academic Journal,0027-4909,Muslim World,01/01/1994,,01/01/2000,
Arts & Entertainment,Music,African Music,Academic Journal,1812-5980,Muziki: Journal of Music Research in Africa,01/01/2007,,01/01/2007,
Science,Life Sciences,Mycology,Academic Journal,1229-8093,Mycobiology,09/01/2010,,09/01/2010,
Health & Medicine,Medical Sciences,Mycology,Academic Journal,1229-8093,Mycobiology,09/01/2010,,09/01/2010,
Science,Life Sciences,Mycology,Academic Journal,1314-4057,MycoKeys,01/01/2011,,01/01/2011,
Health & Medicine,Medical Sciences,Mycology,Academic Journal,1314-4057,MycoKeys,01/01/2011,,01/01/2011,
Science,Life Sciences,Mycology,Academic Journal,1450-7153,Mycologia Montenegrina,01/01/2009,,01/01/2009,
Health & Medicine,Medical Sciences,Mycology,Academic Journal,1450-7153,Mycologia Montenegrina,01/01/2009,,01/01/2009,
Science,Life Sciences,Mycology,Academic Journal,1340-3540,Mycoscience (Springer Science & Business Media B.V.),02/01/2003,12/31/2013,02/01/2003,12/31/2013
Health & Medicine,Medical Sciences,Mycology,Academic Journal,1340-3540,Mycoscience (Springer Science & Business Media B.V.),02/01/2003,12/31/2013,02/01/2003,12/31/2013
Health & Medicine,Health & Medicine (General),Health & Medicine (General),Academic Journal,0933-7407,Mycoses,01/01/1999,,01/01/1999,
Science,Life Sciences,Mycology,Academic Journal,0933-7407,Mycoses,01/01/1999,,01/01/1999,
Health & Medicine,Medical Sciences,Mycology,Academic Journal,0933-7407,Mycoses,01/01/1999,,01/01/1999,
Social Sciences & Humanities,Anthropology,Mythology & Folklore,Academic Journal,1027-3670,Mythosphere,11/01/1997,11/30/2000,11/01/1997,11/30/2000
Religion & Philosophy,Mythology & Folklore,Mythology & Folklore,Academic Journal,1027-3670,Mythosphere,11/01/1997,11/30/2000,11/01/1997,11/30/2000
Business,Economics,Political Economy,Academic Journal,1071-4839,NACLA Report on the Americas,07/01/1996,,07/01/1996,
Social Sciences & Humanities,Economics,Political Economy,Academic Journal,1071-4839,NACLA Report on the Americas,07/01/1996,,07/01/1996,
Politics & Government,Political Science & Studies,Political Economy,Academic Journal,1071-4839,NACLA Report on the Americas,07/01/1996,,07/01/1996,
Social Sciences & Humanities,Political Science & Studies,Political Economy,Academic Journal,1071-4839,NACLA Report on the Americas,07/01/1996,,07/01/1996,
Politics & Government,Law,Law,Academic Journal,1553-1686,NAELA Journal,05/01/2009,,05/01/2009,
Social Sciences & Humanities,Law,Law,Academic Journal,1553-1686,NAELA Journal,05/01/2009,,05/01/2009,
General Interest,Special Group Interest,Older People's Interest,Academic Journal,1553-1686,NAELA Journal,05/01/2009,,05/01/2009,
Social Sciences & Humanities,Social Science Theory & Study,Gender Studies,Academic Journal,1387-6805,"NAN NU -- Men, Women & Gender in Early & Imperial China",01/01/2000,,01/01/2000,
History,History by Place,Chinese History,Academic Journal,1387-6805,"NAN NU -- Men, Women & Gender in Early & Imperial China",01/01/2000,,01/01/2000,
Social Sciences & Humanities,Area Studies,Chinese Studies,Academic Journal,1387-6805,"NAN NU -- Men, Women & Gender in Early & Imperial China",01/01/2000,,01/01/2000,
History,History by Place,Chinese Studies,Academic Journal,1387-6805,"NAN NU -- Men, Women & Gender in Early & Imperial China",01/01/2000,,01/01/2000,
Technology,Microtechnology & Nanotechnology,Nanotechnology,Academic Journal,1793-2920,NANO,07/01/2006,,07/01/2006,
Health & Medicine,Medical Sciences,Biomedicine,Academic Journal,2150-5578,Nano Biomedicine & Engineering,01/01/2011,,01/01/2011,
Technology,Engineering,Nanoengineering,Academic Journal,2150-5578,Nano Biomedicine & Engineering,01/01/2011,,01/01/2011,
Technology,Microtechnology & Nanotechnology,Nanoengineering,Academic Journal,2150-5578,Nano Biomedicine & Engineering,01/01/2011,,01/01/2011,
Technology,Microtechnology & Nanotechnology,Nanotechnology,Academic Journal,2000-5121,Nano Reviews,01/01/2010,,01/01/2010,
Technology,Microtechnology & Nanotechnology,Microtechnology & Nanotechnology,Academic Journal,2150-5551,Nano-Micro Letters,03/01/2011,,03/01/2011,
Technology,Engineering,Nanoengineering,Academic Journal,2150-5551,Nano-Micro Letters,03/01/2011,,03/01/2011,
Technology,Microtechnology & Nanotechnology,Nanoengineering,Academic Journal,2150-5551,Nano-Micro Letters,03/01/2011,,03/01/2011,
Technology,Engineering,Biomedical Engineering,Academic Journal,2230-6153,Nanobiosensors in Disease Diagnosis,01/01/2012,,05/01/2012,
Science,Life Sciences,Biomedical Engineering,Academic Journal,2230-6153,Nanobiosensors in Disease Diagnosis,01/01/2012,,05/01/2012,
Health & Medicine,Medical Sciences,Biomedical Engineering,Academic Journal,2230-6153,Nanobiosensors in Disease Diagnosis,01/01/2012,,05/01/2012,
Technology,Biotechnology,Biosensors,Academic Journal,2230-6153,Nanobiosensors in Disease Diagnosis,01/01/2012,,05/01/2012,
Science,Chemistry,Biosensors,Academic Journal,2230-6153,Nanobiosensors in Disease Diagnosis,01/01/2012,,05/01/2012,
Science,Life Sciences,Biosensors,Academic Journal,2230-6153,Nanobiosensors in Disease Diagnosis,01/01/2012,,05/01/2012,
Technology,Technological Equipment & Supplies,Biosensors,Academic Journal,2230-6153,Nanobiosensors in Disease Diagnosis,01/01/2012,,05/01/2012,
Technology,Technology by Type,Biosensors,Academic Journal,2230-6153,Nanobiosensors in Disease Diagnosis,01/01/2012,,05/01/2012,
Religion & Philosophy,Philosophy Branches,Ethics,Academic Journal,1871-4757,NanoEthics,03/01/2007,,06/01/2009,06/30/2011
Technology,Microtechnology & Nanotechnology,Nanotechnology,Academic Journal,1871-4757,NanoEthics,03/01/2007,,06/01/2009,06/30/2011
Technology,Microtechnology & Nanotechnology,Nanotechnology,Academic Journal,2044-9763,"Nanosystems, Nanomaterials & Nanotechnologies",01/01/2011,,01/01/2011,
Technology,Microtechnology & Nanotechnology,Nanotechnology,Academic Journal,1546-203X,Nanotechnology Law & Business,12/01/2009,,12/01/2009,
Politics & Government,Law,Technology Law,Academic Journal,1546-203X,Nanotechnology Law & Business,12/01/2009,,12/01/2009,
Social Sciences & Humanities,Law,Technology Law,Academic Journal,1546-203X,Nanotechnology Law & Business,12/01/2009,,12/01/2009,
Technology,Technology (General),Technology Law,Academic Journal,1546-203X,Nanotechnology Law & Business,12/01/2009,,12/01/2009,
Technology,Microtechnology & Nanotechnology,Nanotechnology,Academic Journal,1743-5390,Nanotoxicology,03/01/2007,,03/01/2007,
Science,Chemistry,Toxicology,Academic Journal,1743-5390,Nanotoxicology,03/01/2007,,03/01/2007,
Health & Medicine,Medical Sciences,Toxicology,Academic Journal,1743-5390,Nanotoxicology,03/01/2007,,03/01/2007,
Social Sciences & Humanities,Anthropology,Anthropology,Academic Journal,1556-4789,NAPA Bulletin,05/01/2010,03/31/2011,05/01/2010,03/31/2011
Literature & Writing,Literature & Writing (General),Literature & Writing (General),Academic Journal,1063-3685,Narrative,01/01/2003,,01/01/2003,
Business,Industries & Trades,Shipping & Freight Industry,Academic Journal,0469-6255,Nase More,04/01/2009,,04/01/2009,
Politics & Government,Law,Maritime Law,Academic Journal,0469-6255,Nase More,04/01/2009,,04/01/2009,
Social Sciences & Humanities,Law,Maritime Law,Academic Journal,0469-6255,Nase More,04/01/2009,,04/01/2009,
Technology,Transportation,Maritime Law,Academic Journal,0469-6255,Nase More,04/01/2009,,04/01/2009,
Social Sciences & Humanities,Social Science Theory & Study,Gender Studies,Academic Journal,0793-8934,Nashim: A Journal of Jewish Women's Studies & Gender Issues,01/01/2004,,06/01/2004,
Social Sciences & Humanities,Social Science Theory & Study,Women's Studies,Academic Journal,0793-8934,Nashim: A Journal of Jewish Women's Studies & Gender Issues,01/01/2004,,06/01/2004,
Religion & Philosophy,Judaism,Jewish Studies,Academic Journal,0793-8934,Nashim: A Journal of Jewish Women's Studies & Gender Issues,01/01/2004,,06/01/2004,
Social Sciences & Humanities,Area Studies,Jewish Studies,Academic Journal,0793-8934,Nashim: A Journal of Jewish Women's Studies & Gender Issues,01/01/2004,,06/01/2004,
Health & Medicine,Bioethics,Bioethics,Academic Journal,1532-5490,National Catholic Bioethics Quarterly,06/01/2010,,06/01/2010,
Science,Life Sciences,Bioethics,Academic Journal,1532-5490,National Catholic Bioethics Quarterly,06/01/2010,,06/01/2010,
Religion & Philosophy,Philosophy Branches,Bioethics,Academic Journal,1532-5490,National Catholic Bioethics Quarterly,06/01/2010,,06/01/2010,
Religion & Philosophy,Christianity,Catholicism,Academic Journal,1532-5490,National Catholic Bioethics Quarterly,06/01/2010,,06/01/2010,
Politics & Government,Politics & Government by Place,United States Politics & Government,Academic Journal,0027-9013,National Civic Review,01/01/1994,,01/01/1994,
Social Sciences & Humanities,Sociology,Nationalism,Academic Journal,1460-8944,National Identities,03/01/1999,,03/01/1999,
Politics & Government,Political Systems & Philosophies,Nationalism,Academic Journal,1460-8944,National Identities,03/01/1999,,03/01/1999,
Religion & Philosophy,Philosophy Branches,Nationalism,Academic Journal,1460-8944,National Identities,03/01/1999,,03/01/1999,
Social Sciences & Humanities,Sociology,Community Health Services,Academic Journal,0976-3325,National Journal of Community Medicine,06/01/2010,,06/01/2010,
Health & Medicine,Medical Care & Services,Community Health Services,Academic Journal,0976-3325,National Journal of Community Medicine,06/01/2010,,06/01/2010,
Health & Medicine,Health & Medicine (General),Health & Medicine (General),Academic Journal,0975-9840,National Journal of Integrated Research in Medicine,10/01/2010,,10/01/2010,
Science,Chemistry,Pharmacology,Academic Journal,2231-3206,"National Journal of Physiology, Pharmacy & Pharmacology",07/01/2011,,07/01/2011,
Health & Medicine,Medical Sciences,Pharmacology,Academic Journal,2231-3206,"National Journal of Physiology, Pharmacy & Pharmacology",07/01/2011,,07/01/2011,
Health & Medicine,Clinical Specialties,Pharmacy,Academic Journal,2231-3206,"National Journal of Physiology, Pharmacy & Pharmacology",07/01/2011,,07/01/2011,
Health & Medicine,Medical Sciences,Physiology,Academic Journal,2231-3206,"National Journal of Physiology, Pharmacy & Pharmacology",07/01/2011,,07/01/2011,
Politics & Government,Law,United States Law,Academic Journal,2158-7922,National Lawyers Guild Review,06/01/2009,,06/01/2009,
Social Sciences & Humanities,Law,United States Law,Academic Journal,2158-7922,National Lawyers Guild Review,06/01/2009,,06/01/2009,
Politics & Government,Law,Bar Associations,Academic Journal,2158-7922,National Lawyers Guild Review,06/01/2009,,06/01/2009,
Social Sciences & Humanities,Law,Bar Associations,Academic Journal,2158-7922,National Lawyers Guild Review,06/01/2009,,06/01/2009,
Politics & Government,Law,Legal Profession,Academic Journal,2158-7922,National Lawyers Guild Review,06/01/2009,,06/01/2009,
Social Sciences & Humanities,Law,Legal Profession,Academic Journal,2158-7922,National Lawyers Guild Review,06/01/2009,,06/01/2009,
Social Sciences & Humanities,Sociology,Nationalism,Academic Journal,0090-5992,Nationalities Papers,03/01/1999,,03/01/1999,
Politics & Government,Political Systems & Philosophies,Nationalism,Academic Journal,0090-5992,Nationalities Papers,03/01/1999,,03/01/1999,
Religion & Philosophy,Philosophy Branches,Nationalism,Academic Journal,0090-5992,Nationalities Papers,03/01/1999,,03/01/1999,
Social Sciences & Humanities,Sociology,Ethnic Relations,Academic Journal,0090-5992,Nationalities Papers,03/01/1999,,03/01/1999,
Social Sciences & Humanities,Sociology,Nationalism,Academic Journal,1354-5078,Nations & Nationalism,01/01/2001,,01/01/2001,
Politics & Government,Political Systems & Philosophies,Nationalism,Academic Journal,1354-5078,Nations & Nationalism,01/01/2001,,01/01/2001,
Religion & Philosophy,Philosophy Branches,Nationalism,Academic Journal,1354-5078,Nations & Nationalism,01/01/2001,,01/01/2001,
Science,Life Sciences,Botany,Academic Journal,1522-8339,Native Plants Journal (Indiana University Press),04/01/2000,12/31/2010,04/01/2000,12/31/2010
