,Journal,Year,SJR,IPP,SNIP,Citations,Documents,% Not Cited,% Review
739,Social Work in Health Care,1997,NA,NA,NA,253,71,23.94,15.49
740,Social Work in Health Care,1998,NA,NA,NA,245,63,36.51,17.46
741,Social Work in Health Care,1999,0.221,0.237,0.27,266,47,36.17,17.02
742,Social Work in Health Care,2000,0.272,0.577,0.497,383,73,24.66,28.77
743,Social Work in Health Care,2001,0.293,0.439,0.652,383,62,22.58,12.9
744,Social Work in Health Care,2002,0.209,0.313,0.372,338,44,25,34.09
745,Social Work in Health Care,2003,0.248,0.46,0.423,418,48,14.58,22.92
746,Social Work in Health Care,2004,0.25,0.328,0.348,458,57,15.79,12.28
747,Social Work in Health Care,2005,0.215,0.43,0.419,532,46,21.74,45.65
748,Social Work in Health Care,2006,0.185,0.364,0.329,509,41,14.63,26.83
749,Social Work in Health Care,2007,0.263,0.464,0.329,547,66,25.76,21.21
750,Social Work in Health Care,2008,0.298,0.656,0.531,627,46,17.39,0
751,Social Work in Health Care,2009,0.263,0.461,0.334,564,63,31.75,0
752,Social Work in Health Care,2010,0.298,0.929,0.74,726,67,23.88,2.99
753,Social Work in Health Care,2011,0.274,0.792,0.697,695,60,26.67,3.33
754,Social Work in Health Care,2012,0.412,0.944,0.806,921,59,37.29,3.39
755,Social Work in Health Care,2013,0.433,0.951,0.602,937,56,58.93,3.57
756,Social Work in Health Care,2014,NA,NA,NA,701,63,98.41,4.76
757,Social Work in Health Care,2015,NA,NA,NA,48,5,100,20
758,Social Work in Mental Health,1996,NA,NA,NA,0,0,0,0
759,Social Work in Mental Health,1997,NA,NA,NA,0,0,0,0
760,Social Work in Mental Health,1998,NA,NA,NA,0,0,0,0
761,Social Work in Mental Health,1999,NA,NA,NA,0,0,0,0
762,Social Work in Mental Health,2000,NA,NA,NA,0,0,0,0
763,Social Work in Mental Health,2001,NA,NA,NA,0,0,0,0
764,Social Work in Mental Health,2002,NA,NA,NA,0,15,26.67,0
765,Social Work in Mental Health,2003,NA,NA,NA,1,21,23.81,0
766,Social Work in Mental Health,2004,NA,NA,NA,42,28,10.71,0
767,Social Work in Mental Health,2005,0.191,0,0,59,25,32,52
768,Social Work in Mental Health,2006,0.101,0,0,17,11,18.18,45.45
769,Social Work in Mental Health,2007,0.12,0.093,0.06,24,18,5.56,5.56
770,Social Work in Mental Health,2008,0.134,0.204,0.156,43,31,48.39,6.45
771,Social Work in Mental Health,2009,0.152,0.25,0.134,47,43,27.91,0
772,Social Work in Mental Health,2010,0.179,0.265,0.254,75,34,29.41,0
773,Social Work in Mental Health,2011,0.172,0.346,0.265,97,33,45.45,6.06
774,Social Work in Mental Health,2012,0.199,0.348,0.492,93,27,48.15,11.11
775,Social Work in Mental Health,2013,0.17,0.381,0.264,134,31,67.74,6.45
776,Social Work in Mental Health,2014,NA,NA,NA,106,32,93.75,6.25
777,Social Work in Mental Health,2015,NA,NA,NA,3,9,88.89,0
778,Social Work in Public Health,1996,NA,NA,NA,0,0,0,0
779,Social Work in Public Health,1997,NA,NA,NA,0,0,0,0
780,Social Work in Public Health,1998,NA,NA,NA,0,0,0,0
781,Social Work in Public Health,1999,0.126,NA,NA,0,0,0,0
782,Social Work in Public Health,2000,0.111,NA,NA,0,0,0,0
783,Social Work in Public Health,2001,0.121,0.143,0.13,0,0,0,0
784,Social Work in Public Health,2002,0.219,0.275,0.144,0,0,0,0
785,Social Work in Public Health,2003,0.16,0.236,0.156,0,0,0,0
786,Social Work in Public Health,2004,0.207,0.257,0.221,0,0,0,0
787,Social Work in Public Health,2005,0.166,0.267,0.171,0,0,0,0
788,Social Work in Public Health,2006,0.212,0.379,0.295,0,0,0,0
789,Social Work in Public Health,2007,0.15,0.224,0.208,0,0,0,0
790,Social Work in Public Health,2008,0.111,0.145,0.134,1,44,43.18,45.45
791,Social Work in Public Health,2009,0.212,0.26,0.417,9,45,33.33,44.44
792,Social Work in Public Health,2010,0.207,0.374,0.283,42,38,26.32,10.53
793,Social Work in Public Health,2011,0.167,0.336,0.187,46,50,44,6
794,Social Work in Public Health,2012,0.234,0.374,0.363,67,44,56.82,13.64
795,Social Work in Public Health,2013,0.305,0.62,0.539,123,57,71.93,10.53
796,Social Work in Public Health,2014,NA,NA,NA,143,72,91.67,2.78
797,Social Work in Public Health,2015,NA,NA,NA,5,0,0,0
798,Social Work With Groups,1997,NA,NA,NA,64,38,47.37,0
799,Social Work With Groups,1998,NA,NA,NA,86,34,61.76,0
800,Social Work With Groups,1999,NA,NA,NA,97,44,54.55,0
801,Social Work With Groups,2000,NA,NA,NA,125,43,55.81,0
802,Social Work With Groups,2001,NA,NA,NA,70,50,50,0
803,Social Work With Groups,2002,NA,NA,NA,94,42,35.71,0
804,Social Work With Groups,2003,NA,NA,NA,112,42,50,0
805,Social Work With Groups,2004,NA,NA,NA,122,34,44.12,0
806,Social Work With Groups,2005,NA,NA,NA,143,15,53.33,0
807,Social Work With Groups,2006,0.105,0,0,272,66,30.3,6.06
808,Social Work With Groups,2007,0.19,0.038,0.102,179,41,56.1,0
809,Social Work With Groups,2008,0.224,0.333,0.332,315,31,51.61,0
810,Social Work With Groups,2009,0.248,0.4,0.333,187,47,57.45,2.13
811,Social Work With Groups,2010,0.211,0.333,0.495,191,34,44.12,0
812,Social Work With Groups,2011,0.344,0.385,0.965,276,47,65.96,2.13
813,Social Work With Groups,2012,0.371,0.482,0.67,278,27,44.44,3.7
814,Social Work With Groups,2013,0.265,0.365,0.493,210,29,55.17,0
815,Social Work With Groups,2014,NA,NA,NA,311,29,89.66,0
816,Social Work With Groups,2015,NA,NA,NA,43,7,100,0
817,Maatskaplike Werk,1996,NA,NA,NA,58,48,43.75,14.58
818,Maatskaplike Werk,1997,NA,NA,NA,59,35,54.29,5.71
819,Maatskaplike Werk,1998,NA,NA,NA,31,38,28.95,0
820,Maatskaplike Werk,1999,0.199,0.163,0.762,50,38,34.21,5.26
821,Maatskaplike Werk,2000,0.222,0.292,0.766,91,32,43.75,3.12
822,Maatskaplike Werk,2001,0.206,0.135,0.682,58,33,51.52,3.03
823,Maatskaplike Werk,2002,0.193,0.11,0.382,79,32,53.13,3.12
824,Maatskaplike Werk,2003,0.196,0.126,0.372,55,34,47.06,0
825,Maatskaplike Werk,2004,0.188,0.122,0.763,61,34,41.18,8.82
826,Maatskaplike Werk,2005,0.193,0.228,0.496,70,33,27.27,6.06
827,Maatskaplike Werk,2006,0.204,0.206,0.574,85,28,39.29,3.57
828,Maatskaplike Werk,2007,0.242,0.407,0.673,99,32,43.75,0
829,Maatskaplike Werk,2008,0.384,0.218,0.611,107,32,50,0
830,Maatskaplike Werk,2009,0.208,0.14,0.533,78,40,52.5,0
831,Maatskaplike Werk,2010,0.197,0.168,0.399,104,38,44.74,0
832,Maatskaplike Werk,2011,0.198,0.198,0.386,94,36,66.67,2.78
833,Maatskaplike Werk,2012,0.192,0.143,0.252,77,34,82.35,5.88
834,Maatskaplike Werk,2013,0.274,0.188,0.225,107,38,89.47,28.95
835,Maatskaplike Werk,2014,NA,NA,NA,73,28,100,14.29
836,Maatskaplike Werk,2015,NA,NA,NA,1,0,0,0
837,Journal of Gay & Lesbian Social Services,1997,NA,NA,NA,10,40,22.5,0
838,Journal of Gay & Lesbian Social Services,1998,NA,NA,NA,4,20,35,0
839,Journal of Gay & Lesbian Social Services,1999,NA,NA,NA,20,50,36,0
840,Journal of Gay & Lesbian Social Services,2000,NA,NA,NA,36,35,34.29,0
841,Journal of Gay & Lesbian Social Services,2001,NA,NA,NA,31,41,14.63,0
842,Journal of Gay & Lesbian Social Services,2002,NA,NA,NA,55,30,13.33,0
843,Journal of Gay & Lesbian Social Services,2003,NA,NA,NA,69,14,14.29,0
844,Journal of Gay & Lesbian Social Services,2004,NA,NA,NA,54,27,7.41,0
845,Journal of Gay & Lesbian Social Services,2005,NA,NA,NA,107,6,16.67,0
846,Journal of Gay & Lesbian Social Services,2006,0.104,0,0,168,29,10.34,6.9
847,Journal of Gay & Lesbian Social Services,2007,0.169,0.226,0.132,170,32,15.63,0
848,Journal of Gay & Lesbian Social Services,2008,0.23,0.288,0.314,252,22,13.64,0
849,Journal of Gay & Lesbian Social Services,2009,0.344,0.432,0.386,243,26,11.54,0
850,Journal of Gay & Lesbian Social Services,2010,0.245,0.384,0.476,237,28,25,0
851,Journal of Gay & Lesbian Social Services,2011,0.28,0.493,0.498,325,27,11.11,0
852,Journal of Gay & Lesbian Social Services,2012,0.343,0.646,0.316,387,22,27.27,4.55
853,Journal of Gay & Lesbian Social Services,2013,0.509,1.118,0.844,519,26,73.08,11.54
854,Journal of Gay & Lesbian Social Services,2014,NA,NA,NA,402,24,91.67,0
855,Journal of Gay & Lesbian Social Services,2015,NA,NA,NA,25,0,0,0
856,Journal of HIV/AIDS & Social Services,1996,NA,NA,NA,0,0,0,0
857,Journal of HIV/AIDS & Social Services,1997,NA,NA,NA,0,0,0,0
858,Journal of HIV/AIDS & Social Services,1998,NA,NA,NA,0,0,0,0
859,Journal of HIV/AIDS & Social Services,1999,NA,NA,NA,0,0,0,0
860,Journal of HIV/AIDS & Social Services,2000,NA,NA,NA,0,0,0,0
861,Journal of HIV/AIDS & Social Services,2001,NA,NA,NA,0,0,0,0
862,Journal of HIV/AIDS & Social Services,2002,NA,NA,NA,1,18,16.67,0
863,Journal of HIV/AIDS & Social Services,2003,0.121,0,0,2,14,21.43,0
864,Journal of HIV/AIDS & Social Services,2004,0.111,0.038,0.061,3,25,28,20
865,Journal of HIV/AIDS & Social Services,2005,0.16,0.279,0.564,13,30,50,6.67
866,Journal of HIV/AIDS & Social Services,2006,0.184,0.25,0.351,22,32,53.13,3.12
867,Journal of HIV/AIDS & Social Services,2007,0.163,0.194,0.285,32,26,26.92,3.85
868,Journal of HIV/AIDS & Social Services,2008,0.168,0.2,0.168,56,30,50,6.67
869,Journal of HIV/AIDS & Social Services,2009,0.212,0.313,0.186,61,27,33.33,7.41
870,Journal of HIV/AIDS & Social Services,2010,0.151,0.222,0.127,51,27,33.33,0
871,Journal of HIV/AIDS & Social Services,2011,0.183,0.266,0.213,69,29,79.31,0
872,Journal of HIV/AIDS & Social Services,2012,0.207,0.353,0.304,96,28,75,0
873,Journal of HIV/AIDS & Social Services,2013,0.175,0.338,0.215,90,29,62.07,0
874,Journal of HIV/AIDS & Social Services,2014,NA,NA,NA,74,33,96.97,0
875,Journal of HIV/AIDS & Social Services,2015,NA,NA,NA,7,0,0,0
896,Journal of Social Service Research,1996,NA,NA,NA,82,23,47.83,0
897,Journal of Social Service Research,1997,NA,NA,NA,83,20,20,0
898,Journal of Social Service Research,1998,NA,NA,NA,93,12,0,33.33
899,Journal of Social Service Research,1999,0.222,0.39,0.388,136,37,21.62,5.41
900,Journal of Social Service Research,2000,0.216,0.417,0.498,136,17,11.76,0
901,Journal of Social Service Research,2001,0.412,0.492,0.416,149,20,30,15
902,Journal of Social Service Research,2002,0.456,0.758,0.687,160,21,42.86,28.57
903,Journal of Social Service Research,2003,0.179,0.278,0.225,168,20,15,45
904,Journal of Social Service Research,2004,0.271,0.316,0.412,140,19,26.32,26.32
905,Journal of Social Service Research,2005,0.198,0.41,0.527,175,16,18.75,31.25
906,Journal of Social Service Research,2006,0.232,0.37,0.639,195,37,10.81,10.81
907,Journal of Social Service Research,2007,0.282,0.303,0.388,221,27,18.52,0
908,Journal of Social Service Research,2008,0.168,0.293,0.328,226,15,13.33,6.67
909,Journal of Social Service Research,2009,0.378,0.671,1.029,272,32,9.38,0
910,Journal of Social Service Research,2010,0.446,0.757,0.698,313,35,25.71,0
911,Journal of Social Service Research,2011,0.318,0.625,0.743,330,46,23.91,2.17
912,Journal of Social Service Research,2012,0.359,0.727,0.788,378,58,55.17,1.72
913,Journal of Social Service Research,2013,0.251,0.511,0.478,451,51,60.78,7.84
914,Journal of Social Service Research,2014,NA,NA,NA,368,61,95.08,0
915,Journal of Social Service Research,2015,NA,NA,NA,29,11,100,0
916,Social Service Review,1996,NA,NA,NA,367,56,46.43,0
917,Social Service Review,1997,NA,NA,NA,345,50,40,8
918,Social Service Review,1998,NA,NA,NA,336,46,36.96,2.17
919,Social Service Review,1999,0.681,0.736,1.232,423,54,50,1.85
920,Social Service Review,2000,0.392,0.614,0.936,411,66,45.45,7.58
921,Social Service Review,2001,0.38,0.735,1.007,382,64,43.75,1.56
922,Social Service Review,2002,0.456,0.529,0.81,426,57,33.33,1.75
923,Social Service Review,2003,0.721,0.817,1.171,443,60,58.33,0
924,Social Service Review,2004,0.765,1.014,1.203,592,98,73.47,5.1
925,Social Service Review,2005,0.498,0.944,1.339,579,88,70.45,6.82
926,Social Service Review,2006,0.644,1.099,1.008,679,62,61.29,1.61
927,Social Service Review,2007,0.678,1.014,1.047,709,49,51.02,12.24
928,Social Service Review,2008,0.92,1.103,1.323,795,47,51.06,0
929,Social Service Review,2009,0.503,0.903,1.071,899,40,47.5,10
930,Social Service Review,2010,0.804,1.557,1.291,1002,50,56,2
931,Social Service Review,2011,0.841,1.311,1.011,1022,28,35.71,0
932,Social Service Review,2012,0.812,1.2,0.904,1131,17,29.41,0
933,Social Service Review,2013,0.612,1.051,0.913,1027,24,62.5,0
934,Social Service Review,2014,NA,NA,NA,833,23,91.3,4.35
935,Social Service Review,2015,NA,NA,NA,34,0,0,0
975,Journal of Sociology & Social Welfare,1996,NA,NA,NA,107,68,61.76,0
976,Journal of Sociology & Social Welfare,1997,NA,NA,NA,94,61,54.1,0
977,Journal of Sociology & Social Welfare,1998,NA,NA,NA,108,38,28.95,0
978,Journal of Sociology & Social Welfare,1999,NA,NA,NA,90,39,10.26,0
979,Journal of Sociology & Social Welfare,2000,NA,NA,NA,126,49,40.82,0
980,Journal of Sociology & Social Welfare,2001,NA,NA,NA,149,60,36.67,0
981,Journal of Sociology & Social Welfare,2002,NA,NA,NA,136,57,42.11,0
982,Journal of Sociology & Social Welfare,2003,NA,NA,NA,144,57,43.86,0
983,Journal of Sociology & Social Welfare,2004,NA,NA,NA,183,49,48.98,0
984,Journal of Sociology & Social Welfare,2005,NA,NA,NA,225,54,37.04,12.96
985,Journal of Sociology & Social Welfare,2006,0.122,0.056,0.389,230,77,54.55,3.9
986,Journal of Sociology & Social Welfare,2007,0.25,0.366,0.639,272,73,57.53,2.74
987,Journal of Sociology & Social Welfare,2008,0.456,0.485,0.68,303,55,43.64,1.82
988,Journal of Sociology & Social Welfare,2009,0.287,0.455,0.671,346,81,60.49,3.7
989,Journal of Sociology & Social Welfare,2010,0.3,0.563,0.684,396,68,72.06,1.47
990,Journal of Sociology & Social Welfare,2011,0.272,0.488,0.625,436,59,57.63,6.78
991,Journal of Sociology & Social Welfare,2012,0.346,0.62,0.662,480,32,62.5,3.12
992,Journal of Sociology & Social Welfare,2013,0.274,0.56,0.61,462,40,90,5
993,Journal of Sociology & Social Welfare,2014,NA,NA,NA,340,8,100,0
994,Journal of Sociology & Social Welfare,2015,NA,NA,NA,29,0,0,0
1015,Affilia,1997,NA,NA,NA,78,50,56,10
1016,Affilia,1998,NA,NA,NA,64,45,60,4.44
1017,Affilia,1999,0.207,0.234,0.303,71,61,65.57,3.28
1018,Affilia,2000,0.226,0.304,0.607,76,35,31.43,14.29
1019,Affilia,2001,0.143,0.19,0.353,84,52,63.46,1.92
1020,Affilia,2002,0.629,0.516,0.565,126,46,47.83,41.3
1021,Affilia,2003,0.284,0.385,0.454,122,66,57.58,21.21
1022,Affilia,2004,0.177,0.176,0.317,120,60,60,36.67
1023,Affilia,2005,0.259,0.282,0.479,147,65,58.46,32.31
1024,Affilia,2006,0.333,0.385,0.598,180,62,51.61,12.9
1025,Affilia,2007,0.277,0.286,0.442,170,43,32.56,4.65
1026,Affilia,2008,0.406,0.494,0.607,244,52,44.23,3.85
1027,Affilia,2009,0.348,0.451,0.576,248,44,34.09,0
1028,Affilia,2010,0.449,0.671,0.812,293,53,45.28,1.89
1029,Affilia,2011,0.411,0.674,0.636,350,66,69.7,12.12
1030,Affilia,2012,0.386,0.73,0.996,377,41,58.54,4.88
1031,Affilia,2013,0.379,0.72,1.015,454,38,60.53,47.37
1032,Affilia,2014,NA,NA,NA,314,31,93.55,61.29
1033,Affilia,2015,NA,NA,NA,31,0,0,0
1034,Child & Adolescent Social Work Journal,1996,NA,NA,NA,106,38,26.32,2.63
1035,Child & Adolescent Social Work Journal,1997,NA,NA,NA,94,33,33.33,18.18
1036,Child & Adolescent Social Work Journal,1998,NA,NA,NA,113,37,40.54,18.92
1037,Child & Adolescent Social Work Journal,1999,0.339,0.451,0.694,159,29,27.59,10.34
1038,Child & Adolescent Social Work Journal,2000,0.259,0.342,0.646,151,30,20,10
1039,Child & Adolescent Social Work Journal,2001,0.186,0.203,0.417,153,30,26.67,13.33
1040,Child & Adolescent Social Work Journal,2002,0.186,0.169,0.169,166,30,20,0
1041,Child & Adolescent Social Work Journal,2003,0.233,0.296,0.405,207,41,34.15,36.59
1042,Child & Adolescent Social Work Journal,2004,0.207,0.253,0.253,179,45,26.67,20
1043,Child & Adolescent Social Work Journal,2005,0.253,0.357,0.432,251,29,24.14,24.14
1044,Child & Adolescent Social Work Journal,2006,0.284,0.429,0.505,344,37,24.32,16.22
1045,Child & Adolescent Social Work Journal,2007,0.247,0.244,0.324,342,31,3.23,0
1046,Child & Adolescent Social Work Journal,2008,0.24,0.364,0.337,396,44,27.27,0
1047,Child & Adolescent Social Work Journal,2009,0.308,0.51,0.395,479,45,31.11,0
1048,Child & Adolescent Social Work Journal,2010,0.252,0.52,0.444,514,29,17.24,13.79
1049,Child & Adolescent Social Work Journal,2011,0.38,0.794,0.542,590,29,27.59,6.9
1050,Child & Adolescent Social Work Journal,2012,0.279,0.62,0.467,630,30,30,3.33
1051,Child & Adolescent Social Work Journal,2013,0.269,0.586,0.386,664,30,60,6.67
1052,Child & Adolescent Social Work Journal,2014,NA,NA,NA,470,55,96.36,5.45
1053,Child & Adolescent Social Work Journal,2015,NA,NA,NA,22,6,100,0
1054,Children & Schools,1996,NA,NA,NA,0,0,0,0
1055,Children & Schools,1997,NA,NA,NA,0,0,0,0
1056,Children & Schools,1998,NA,NA,NA,0,0,0,0
1057,Children & Schools,1999,NA,NA,NA,0,0,0,0
1058,Children & Schools,2000,NA,NA,NA,0,6,16.67,0
1059,Children & Schools,2001,NA,NA,NA,0,23,4.35,0
1060,Children & Schools,2002,NA,NA,NA,3,21,14.29,0
1061,Children & Schools,2003,NA,NA,NA,9,21,19.05,0
1062,Children & Schools,2004,NA,NA,NA,9,23,13.04,0
1063,Children & Schools,2005,NA,NA,NA,48,28,7.14,28.57
1064,Children & Schools,2006,0.164,0.375,0.441,65,30,10,30
1065,Children & Schools,2007,0.281,0.347,0.433,94,31,32.26,25.81
1066,Children & Schools,2008,0.498,0.589,0.639,143,24,8.33,33.33
1067,Children & Schools,2009,0.374,0.588,0.8,190,29,24.14,10.34
1068,Children & Schools,2010,0.391,0.529,0.495,253,27,22.22,22.22
1069,Children & Schools,2011,0.325,0.522,0.684,296,27,37.04,14.81
1070,Children & Schools,2012,0.326,0.347,0.434,290,28,75,7.14
1071,Children & Schools,2013,0.443,0.493,0.503,287,20,75,15
1072,Children & Schools,2014,NA,NA,NA,220,26,96.15,7.69
1073,Children & Schools,2015,NA,NA,NA,18,0,0,0
1074,Families in Society,1996,NA,NA,NA,189,92,42.39,10.87
1075,Families in Society,1997,NA,NA,NA,266,109,44.04,4.59
1076,Families in Society,1998,NA,NA,NA,283,90,40,10
1077,Families in Society,1999,0.484,0.623,0.894,329,111,39.64,1.8
1078,Families in Society,2000,0.402,0.462,0.786,370,95,43.16,3.16
1079,Families in Society,2001,0.361,0.426,0.664,347,80,27.5,20
1080,Families in Society,2002,0.36,0.427,0.612,456,93,35.48,19.35
1081,Families in Society,2003,0.361,0.503,0.795,452,81,28.4,32.1
1082,Families in Society,2004,0.291,0.353,0.571,495,80,25,50
1083,Families in Society,2005,0.354,0.425,0.627,543,80,25,36.25
1084,Families in Society,2006,0.283,0.419,0.55,722,86,31.4,5.81
1085,Families in Society,2007,0.349,0.475,0.696,794,76,14.47,11.84
1086,Families in Society,2008,0.298,0.46,0.492,891,82,35.37,8.54
1087,Families in Society,2009,0.337,0.432,0.444,929,99,48.48,0
1088,Families in Society,2010,0.305,0.514,0.609,931,67,34.33,2.99
1089,Families in Society,2011,0.286,0.469,0.477,980,65,33.85,10.77
1090,Families in Society,2012,0.358,0.532,0.477,977,42,59.52,38.1
1091,Families in Society,2013,0.265,0.461,0.563,928,19,47.37,5.26
1092,Families in Society,2014,NA,NA,NA,680,0,0,0
1093,Families in Society,2015,NA,NA,NA,41,0,0,0
1094,Journal of Human Behavior in the Social Environment,1996,NA,NA,NA,0,0,0,0
1095,Journal of Human Behavior in the Social Environment,1997,NA,NA,NA,0,0,0,0
1096,Journal of Human Behavior in the Social Environment,1998,NA,NA,NA,0,25,12,0
1097,Journal of Human Behavior in the Social Environment,1999,0.746,NA,NA,5,19,15.79,0
1098,Journal of Human Behavior in the Social Environment,2000,0.383,NA,NA,3,9,0,0
1099,Journal of Human Behavior in the Social Environment,2001,0.121,NA,NA,7,38,15.79,0
1100,Journal of Human Behavior in the Social Environment,2002,NA,NA,NA,29,44,18.18,0
1101,Journal of Human Behavior in the Social Environment,2003,NA,NA,NA,38,46,4.35,0
1102,Journal of Human Behavior in the Social Environment,2004,NA,NA,NA,51,40,0,0
1103,Journal of Human Behavior in the Social Environment,2005,NA,NA,NA,53,40,12.5,62.5
1104,Journal of Human Behavior in the Social Environment,2006,0.126,0.128,0.404,135,34,26.47,8.82
1105,Journal of Human Behavior in the Social Environment,2007,0.138,0.082,0.146,123,82,24.39,10.98
1106,Journal of Human Behavior in the Social Environment,2008,0.151,0.148,0.21,162,47,29.79,0
1107,Journal of Human Behavior in the Social Environment,2009,0.166,0.172,0.169,205,67,25.37,4.48
1108,Journal of Human Behavior in the Social Environment,2010,0.19,0.271,0.29,217,62,19.35,0
1109,Journal of Human Behavior in the Social Environment,2011,0.175,0.327,0.336,283,67,50.75,14.93
1110,Journal of Human Behavior in the Social Environment,2012,0.246,0.386,0.357,419,69,62.32,10.14
1111,Journal of Human Behavior in the Social Environment,2013,0.188,0.33,0.281,395,72,86.11,1.39
1112,Journal of Human Behavior in the Social Environment,2014,NA,NA,NA,367,97,92.78,1.03
1113,Journal of Human Behavior in the Social Environment,2015,NA,NA,NA,28,0,0,0
1114,Journal of Progressive Human Services,1996,NA,NA,NA,19,13,61.54,0
1115,Journal of Progressive Human Services,1997,NA,NA,NA,9,10,20,0
1116,Journal of Progressive Human Services,1998,NA,NA,NA,9,13,69.23,0
1117,Journal of Progressive Human Services,1999,NA,NA,NA,19,9,44.44,0
1118,Journal of Progressive Human Services,2000,NA,NA,NA,20,14,35.71,0
1119,Journal of Progressive Human Services,2001,NA,NA,NA,14,17,64.71,0
1120,Journal of Progressive Human Services,2002,NA,NA,NA,20,20,65,0
1121,Journal of Progressive Human Services,2003,NA,NA,NA,30,17,70.59,0
1122,Journal of Progressive Human Services,2004,NA,NA,NA,23,18,83.33,0
1123,Journal of Progressive Human Services,2005,NA,NA,NA,31,15,60,33.33
1124,Journal of Progressive Human Services,2006,0.103,0.111,0.429,32,12,33.33,8.33
1125,Journal of Progressive Human Services,2007,0.101,0.056,0.095,31,16,62.5,0
1126,Journal of Progressive Human Services,2008,0.101,0,0,37,14,50,0
1127,Journal of Progressive Human Services,2009,0.16,0.296,0.679,53,16,43.75,0
1128,Journal of Progressive Human Services,2010,0.207,0.292,0.464,55,15,66.67,0
1129,Journal of Progressive Human Services,2011,0.298,0.5,0.861,63,13,76.92,0
1130,Journal of Progressive Human Services,2012,0.219,0.375,0.462,98,19,63.16,0
1131,Journal of Progressive Human Services,2013,0.161,0.357,0.591,110,26,92.31,0
1132,Journal of Progressive Human Services,2014,NA,NA,NA,62,13,92.31,0
1133,Journal of Progressive Human Services,2015,NA,NA,NA,3,5,100,0
1134,Journal of Psychosocial Oncology,1996,NA,NA,NA,307,25,20,24
1135,Journal of Psychosocial Oncology,1997,NA,NA,NA,384,19,5.26,42.11
1136,Journal of Psychosocial Oncology,1998,NA,NA,NA,363,10,0,0
1137,Journal of Psychosocial Oncology,1999,0.431,1.087,0.827,451,24,4.17,20.83
1138,Journal of Psychosocial Oncology,2000,0.295,0.686,0.382,475,25,24,32
1139,Journal of Psychosocial Oncology,2001,0.236,0.519,0.493,441,24,29.17,25
1140,Journal of Psychosocial Oncology,2002,0.318,0.738,0.649,467,21,19.05,4.76
1141,Journal of Psychosocial Oncology,2003,0.433,0.804,0.523,538,19,5.26,63.16
1142,Journal of Psychosocial Oncology,2004,0.29,0.737,0.382,536,23,8.7,30.43
1143,Journal of Psychosocial Oncology,2005,0.303,0.656,0.498,572,23,0,13.04
1144,Journal of Psychosocial Oncology,2006,0.288,0.538,0.345,585,28,3.57,7.14
1145,Journal of Psychosocial Oncology,2007,0.305,0.556,0.211,645,34,0,8.82
1146,Journal of Psychosocial Oncology,2008,0.391,0.843,0.396,618,21,0,4.76
1147,Journal of Psychosocial Oncology,2009,0.505,1.146,0.495,648,23,8.7,13.04
1148,Journal of Psychosocial Oncology,2010,0.514,1.295,0.652,659,43,11.63,6.98
1149,Journal of Psychosocial Oncology,2011,0.677,1.341,0.603,709,42,11.9,9.52
1150,Journal of Psychosocial Oncology,2012,0.579,1.387,0.721,804,41,19.51,19.51
1151,Journal of Psychosocial Oncology,2013,0.685,1.355,0.67,827,41,48.78,2.44
1152,Journal of Psychosocial Oncology,2014,NA,NA,NA,666,42,83.33,2.38
1153,Journal of Psychosocial Oncology,2015,NA,NA,NA,41,0,0,0
1154,Journal of Technology in Human Services,1996,NA,NA,NA,0,24,54.17,0
1155,Journal of Technology in Human Services,1997,NA,NA,NA,0,18,55.56,0
1156,Journal of Technology in Human Services,1998,NA,NA,NA,9,28,25,0
1157,Journal of Technology in Human Services,1999,0.193,0.148,0.411,11,17,11.76,0
1158,Journal of Technology in Human Services,2000,0.241,0.302,0.584,31,21,23.81,0
1159,Journal of Technology in Human Services,2001,0.323,0.304,0.546,34,24,8.33,0
1160,Journal of Technology in Human Services,2002,0.178,0.164,0.119,34,34,11.76,26.47
1161,Journal of Technology in Human Services,2003,0.251,0.37,0.452,58,24,16.67,45.83
1162,Journal of Technology in Human Services,2004,0.228,0.305,0.233,65,13,7.69,30.77
1163,Journal of Technology in Human Services,2005,0.256,0.292,0.426,69,18,0,88.89
1164,Journal of Technology in Human Services,2006,0.216,0.275,0.542,82,20,5,65
1165,Journal of Technology in Human Services,2007,0.21,0.204,0.664,84,27,18.52,11.11
1166,Journal of Technology in Human Services,2008,0.263,0.322,0.294,93,25,12,8
1167,Journal of Technology in Human Services,2009,0.309,0.788,0.604,154,22,22.73,4.55
1168,Journal of Technology in Human Services,2010,0.363,0.848,0.718,182,20,30,5
1169,Journal of Technology in Human Services,2011,0.607,1.381,0.77,215,19,26.32,10.53
1170,Journal of Technology in Human Services,2012,0.186,0.414,0.364,190,29,58.62,3.45
1171,Journal of Technology in Human Services,2013,0.284,0.696,0.66,319,23,78.26,4.35
1172,Journal of Technology in Human Services,2014,NA,NA,NA,276,22,100,0
1173,Journal of Technology in Human Services,2015,NA,NA,NA,17,0,0,0
