Journal,Year,SJR,IPP,SNIP,Citations,Documents,% Not Cited,% Review
Social Work/Maatskaplike Werk,2010,0.197,0.168,0.399,104,38,44.74,0
Social Work/Maatskaplike Werk,2011,0.198,0.198,0.386,94,36,66.67,2.78
Social Work/Maatskaplike Werk,2012,0.192,0.143,0.252,77,34,82.35,5.88
Social Work/Maatskaplike Werk,2013,0.274,0.188,0.225,107,38,89.47,28.95
Social Work/Maatskaplike Werk,2014, , , ,73,28,100,14.29
Social Work/Maatskaplike Werk,2015, , , ,1,0,0,0
Journal of Gay and Lesbian Social Services,1997, , , ,10,40,22.5,0
Journal of Gay and Lesbian Social Services,1998, , , ,4,20,35,0
Journal of Gay and Lesbian Social Services,1999, , , ,20,50,36,0
Journal of Gay and Lesbian Social Services,2000, , , ,36,35,34.29,0
Journal of Gay and Lesbian Social Services,2001, , , ,31,41,14.63,0
Journal of Gay and Lesbian Social Services,2002, , , ,55,30,13.33,0
Journal of Gay and Lesbian Social Services,2003, , , ,69,14,14.29,0
Journal of Gay and Lesbian Social Services,2004, , , ,54,27,7.41,0
Journal of Gay and Lesbian Social Services,2005, , , ,107,6,16.67,0
Journal of Gay and Lesbian Social Services,2006,0.104,0,0,168,29,10.34,6.9
Journal of Gay and Lesbian Social Services,2007,0.169,0.226,0.132,170,32,15.63,0
Journal of Gay and Lesbian Social Services,2008,0.23,0.288,0.314,252,22,13.64,0
Journal of Gay and Lesbian Social Services,2009,0.344,0.432,0.386,243,26,11.54,0
Journal of Gay and Lesbian Social Services,2010,0.245,0.384,0.476,237,28,25,0
Journal of Gay and Lesbian Social Services,2011,0.28,0.493,0.498,325,27,11.11,0
Journal of Gay and Lesbian Social Services,2012,0.343,0.646,0.316,387,22,27.27,4.55
Journal of Gay and Lesbian Social Services,2013,0.509,1.118,0.844,519,26,73.08,11.54
Journal of Gay and Lesbian Social Services,2014, , , ,402,24,91.67,0
Journal of Gay and Lesbian Social Services,2015, , , ,25,0,0,0
Journal of HIV/AIDS and Social Services,1996, , , ,0,0,0,0
Journal of HIV/AIDS and Social Services,1997, , , ,0,0,0,0
Journal of HIV/AIDS and Social Services,1998, , , ,0,0,0,0
Journal of HIV/AIDS and Social Services,1999, , , ,0,0,0,0
Journal of HIV/AIDS and Social Services,2000, , , ,0,0,0,0
Journal of HIV/AIDS and Social Services,2001, , , ,0,0,0,0
Journal of HIV/AIDS and Social Services,2002, , , ,1,18,16.67,0
Journal of HIV/AIDS and Social Services,2003,0.121,0,0,2,14,21.43,0
Journal of HIV/AIDS and Social Services,2004,0.111,0.038,0.061,3,25,28,20
Journal of HIV/AIDS and Social Services,2005,0.16,0.279,0.564,13,30,50,6.67
Journal of HIV/AIDS and Social Services,2006,0.184,0.25,0.351,22,32,53.13,3.12
Journal of HIV/AIDS and Social Services,2007,0.163,0.194,0.285,32,26,26.92,3.85
Journal of HIV/AIDS and Social Services,2008,0.168,0.2,0.168,56,30,50,6.67
Journal of HIV/AIDS and Social Services,2009,0.212,0.313,0.186,61,27,33.33,7.41
Journal of HIV/AIDS and Social Services,2010,0.151,0.222,0.127,51,27,33.33,0
Journal of HIV/AIDS and Social Services,2011,0.183,0.266,0.213,69,29,79.31,0
Journal of HIV/AIDS and Social Services,2012,0.207,0.353,0.304,96,28,75,0
Journal of HIV/AIDS and Social Services,2013,0.175,0.338,0.215,90,29,62.07,0
Journal of HIV/AIDS and Social Services,2014, , , ,74,33,96.97,0
Journal of HIV/AIDS and Social Services,2015, , , ,7,0,0,0
Journal of Psychosocial Nursing and Mental Health Services,1996, , , ,314,90,27.78,3.33
Journal of Psychosocial Nursing and Mental Health Services,1997, , , ,358,89,32.58,6.74
Journal of Psychosocial Nursing and Mental Health Services,1998, , , ,347,89,37.08,4.49
Journal of Psychosocial Nursing and Mental Health Services,1999,0.195,0.349,0.456,346,101,47.52,2.97
Journal of Psychosocial Nursing and Mental Health Services,2000,0.228,0.477,0.559,409,78,38.46,7.69
Journal of Psychosocial Nursing and Mental Health Services,2001,0.206,0.373,0.489,418,84,36.9,5.95
Journal of Psychosocial Nursing and Mental Health Services,2002,0.186,0.363,0.455,415,87,39.08,3.45
Journal of Psychosocial Nursing and Mental Health Services,2003,0.224,0.387,0.519,425,90,41.11,27.78
Journal of Psychosocial Nursing and Mental Health Services,2004,0.251,0.483,0.434,439,93,47.31,41.94
Journal of Psychosocial Nursing and Mental Health Services,2005,0.17,0.336,0.32,471,98,48.98,46.94
Journal of Psychosocial Nursing and Mental Health Services,2006,0.171,0.403,0.305,525,93,36.56,60.22
Journal of Psychosocial Nursing and Mental Health Services,2007,0.219,0.503,0.432,470,93,31.18,27.96
Journal of Psychosocial Nursing and Mental Health Services,2008,0.199,0.376,0.36,556,95,35.79,20
Journal of Psychosocial Nursing and Mental Health Services,2009,0.264,0.634,0.461,609,110,46.36,2.73
Journal of Psychosocial Nursing and Mental Health Services,2010,0.301,0.73,0.524,661,97,42.27,6.19
Journal of Psychosocial Nursing and Mental Health Services,2011,0.251,0.674,0.383,630,91,37.36,5.49
Journal of Psychosocial Nursing and Mental Health Services,2012,0.292,0.734,0.442,700,82,48.78,4.88
Journal of Psychosocial Nursing and Mental Health Services,2013,0.313,0.859,0.428,793,93,67.74,2.15
Journal of Psychosocial Nursing and Mental Health Services,2014, , , ,575,50,86,2
Journal of Psychosocial Nursing and Mental Health Services,2015, , , ,27,0,0,0
Journal of Social Service Research,1996, , , ,82,23,47.83,0
Journal of Social Service Research,1997, , , ,83,20,20,0
Journal of Social Service Research,1998, , , ,93,12,0,33.33
Journal of Social Service Research,1999,0.222,0.39,0.388,136,37,21.62,5.41
Journal of Social Service Research,2000,0.216,0.417,0.498,136,17,11.76,0
Journal of Social Service Research,2001,0.412,0.492,0.416,149,20,30,15
Journal of Social Service Research,2002,0.456,0.758,0.687,160,21,42.86,28.57
Journal of Social Service Research,2003,0.179,0.278,0.225,168,20,15,45
Journal of Social Service Research,2004,0.271,0.316,0.412,140,19,26.32,26.32
Journal of Social Service Research,2005,0.198,0.41,0.527,175,16,18.75,31.25
Journal of Social Service Research,2006,0.232,0.37,0.639,195,37,10.81,10.81
Journal of Social Service Research,2007,0.282,0.303,0.388,221,27,18.52,0
Journal of Social Service Research,2008,0.168,0.293,0.328,226,15,13.33,6.67
Journal of Social Service Research,2009,0.378,0.671,1.029,272,32,9.38,0
Journal of Social Service Research,2010,0.446,0.757,0.698,313,35,25.71,0
Journal of Social Service Research,2011,0.318,0.625,0.743,330,46,23.91,2.17
Journal of Social Service Research,2012,0.359,0.727,0.788,378,58,55.17,1.72
Journal of Social Service Research,2013,0.251,0.511,0.478,451,51,60.78,7.84
Journal of Social Service Research,2014, , , ,368,61,95.08,0
Journal of Social Service Research,2015, , , ,29,11,100,0
Social Service Review,1996, , , ,367,56,46.43,0
Social Service Review,1997, , , ,345,50,40,8
Social Service Review,1998, , , ,336,46,36.96,2.17
Social Service Review,1999,0.681,0.736,1.232,423,54,50,1.85
Social Service Review,2000,0.392,0.614,0.936,411,66,45.45,7.58
Social Service Review,2001,0.38,0.735,1.007,382,64,43.75,1.56
Social Service Review,2002,0.456,0.529,0.81,426,57,33.33,1.75
Social Service Review,2003,0.721,0.817,1.171,443,60,58.33,0
Social Service Review,2004,0.765,1.014,1.203,592,98,73.47,5.1
Social Service Review,2005,0.498,0.944,1.339,579,88,70.45,6.82
Social Service Review,2006,0.644,1.099,1.008,679,62,61.29,1.61
Social Service Review,2007,0.678,1.014,1.047,709,49,51.02,12.24
Social Service Review,2008,0.92,1.103,1.323,795,47,51.06,0
Social Service Review,2009,0.503,0.903,1.071,899,40,47.5,10
Social Service Review,2010,0.804,1.557,1.291,1002,50,56,2
Social Service Review,2011,0.841,1.311,1.011,1022,28,35.71,0
Social Service Review,2012,0.812,1.2,0.904,1131,17,29.41,0
Social Service Review,2013,0.612,1.051,0.913,1027,24,62.5,0
Social Service Review,2014, , , ,833,23,91.3,4.35
Social Service Review,2015, , , ,34,0,0,0
International Journal of Social Welfare,1997, , , ,20,33,9.09,0
International Journal of Social Welfare,1998, , , ,17,38,28.95,0
International Journal of Social Welfare,1999,0.303,0.366,0.472,40,33,9.09,12.12
International Journal of Social Welfare,2000,0.202,0.287,0.57,37,27,7.41,7.41
International Journal of Social Welfare,2001,0.243,0.242,0.369,43,31,0,0
International Journal of Social Welfare,2002,0.243,0.36,0.543,74,40,15,5
International Journal of Social Welfare,2003,0.304,0.427,0.581,86,32,6.25,0
International Journal of Social Welfare,2004,0.278,0.356,0.495,92,31,0,0
International Journal of Social Welfare,2005,0.27,0.347,0.493,112,37,13.51,0
International Journal of Social Welfare,2006,0.299,0.49,0.773,180,48,16.67,10.42
International Journal of Social Welfare,2007,0.322,0.448,0.702,227,57,12.28,5.26
International Journal of Social Welfare,2008,0.524,0.718,0.872,346,51,19.61,5.88
International Journal of Social Welfare,2009,0.408,0.614,0.979,429,53,15.09,3.77
International Journal of Social Welfare,2010,0.506,0.825,0.919,492,62,25.81,0
International Journal of Social Welfare,2011,0.401,0.674,0.73,516,63,20.63,0
International Journal of Social Welfare,2012,0.615,0.94,0.995,683,52,15.38,1.92
International Journal of Social Welfare,2013,0.623,1.169,1.294,777,49,44.9,0
International Journal of Social Welfare,2014, , , ,638,65,89.23,4.62
International Journal of Social Welfare,2015, , , ,42,3,100,0
Journal of Social Welfare and Family Law,1996, , , ,25,21,47.62,0
Journal of Social Welfare and Family Law,1997, , , ,12,25,48,0
Journal of Social Welfare and Family Law,1998, , , ,15,23,60.87,0
Journal of Social Welfare and Family Law,1999, , , ,17,26,57.69,0
Journal of Social Welfare and Family Law,2000, , , ,12,24,33.33,0
Journal of Social Welfare and Family Law,2001, , , ,16,30,40,0
Journal of Social Welfare and Family Law,2002, , , ,19,32,56.25,0
Journal of Social Welfare and Family Law,2003, , , ,27,28,53.57,0
Journal of Social Welfare and Family Law,2004, , , ,33,31,38.71,0
Journal of Social Welfare and Family Law,2005, , , ,42,35,37.14,8.57
Journal of Social Welfare and Family Law,2006,0.126,0.071,0.19,92,39,51.28,2.56
Journal of Social Welfare and Family Law,2007,0.176,0.059,0.025,80,33,45.45,6.06
Journal of Social Welfare and Family Law,2008,0.146,0.153,0.412,112,40,52.5,0
Journal of Social Welfare and Family Law,2009,0.184,0.101,0.256,80,39,35.9,0
Journal of Social Welfare and Family Law,2010,0.298,0.25,0.456,112,43,46.51,0
Journal of Social Welfare and Family Law,2011,0.378,0.273,0.576,131,36,58.33,11.11
Journal of Social Welfare and Family Law,2012,0.307,0.366,0.461,166,37,64.86,10.81
Journal of Social Welfare and Family Law,2013,0.303,0.356,0.551,197,33,75.76,0
Journal of Social Welfare and Family Law,2014, , , ,100,42,95.24,0
Journal of Social Welfare and Family Law,2015, , , ,6,2,100,0
Journal of Sociology and Social Welfare,1996, , , ,107,68,61.76,0
Journal of Sociology and Social Welfare,1997, , , ,94,61,54.1,0
Journal of Sociology and Social Welfare,1998, , , ,108,38,28.95,0
Journal of Sociology and Social Welfare,1999, , , ,90,39,10.26,0
Journal of Sociology and Social Welfare,2000, , , ,126,49,40.82,0
Journal of Sociology and Social Welfare,2001, , , ,149,60,36.67,0
Journal of Sociology and Social Welfare,2002, , , ,136,57,42.11,0
Journal of Sociology and Social Welfare,2003, , , ,144,57,43.86,0
Journal of Sociology and Social Welfare,2004, , , ,183,49,48.98,0
Journal of Sociology and Social Welfare,2005, , , ,225,54,37.04,12.96
Journal of Sociology and Social Welfare,2006,0.122,0.056,0.389,230,77,54.55,3.9
Journal of Sociology and Social Welfare,2007,0.25,0.366,0.639,272,73,57.53,2.74
Journal of Sociology and Social Welfare,2008,0.456,0.485,0.68,303,55,43.64,1.82
Journal of Sociology and Social Welfare,2009,0.287,0.455,0.671,346,81,60.49,3.7
Journal of Sociology and Social Welfare,2010,0.3,0.563,0.684,396,68,72.06,1.47
Journal of Sociology and Social Welfare,2011,0.272,0.488,0.625,436,59,57.63,6.78
Journal of Sociology and Social Welfare,2012,0.346,0.62,0.662,480,32,62.5,3.12
Journal of Sociology and Social Welfare,2013,0.274,0.56,0.61,462,40,90,5
Journal of Sociology and Social Welfare,2014, , , ,340,8,100,0
Journal of Sociology and Social Welfare,2015, , , ,29,0,0,0
Social Choice and Welfare,1996, , , ,216,46,4.35,0
Social Choice and Welfare,1997, , , ,201,38,2.63,2.63
Social Choice and Welfare,1998, , , ,186,27,0,3.7
Social Choice and Welfare,1999,2.28,0.55,1.015,266,39,2.56,7.69
Social Choice and Welfare,2000,2.679,0.731,1.31,290,43,4.65,4.65
Social Choice and Welfare,2001,1.487,0.679,1.358,288,44,13.64,4.55
Social Choice and Welfare,2002,1.802,0.855,1.572,469,59,10.17,8.47
Social Choice and Welfare,2003,1.004,0.567,1.189,385,66,16.67,12.12
Social Choice and Welfare,2004,1.297,0.561,1.234,370,60,15,26.67
Social Choice and Welfare,2005,1.115,0.382,0.883,398,66,10.61,4.55
Social Choice and Welfare,2006,0.646,0.474,1.099,551,77,12.99,7.79
Social Choice and Welfare,2007,0.884,0.521,1.083,753,73,15.07,0
Social Choice and Welfare,2008,0.828,0.565,0.953,748,78,11.54,0
Social Choice and Welfare,2009,1.515,0.757,1.265,980,81,18.52,0
Social Choice and Welfare,2010,1.934,0.809,1.124,886,73,17.81,1.37
Social Choice and Welfare,2011,1.058,0.626,1.007,1167,78,47.44,1.28
Social Choice and Welfare,2012,0.828,0.549,1.149,1093,83,34.94,2.41
Social Choice and Welfare,2013,1.017,0.681,1.102,1201,124,54.84,0
Social Choice and Welfare,2014, , , ,1021,113,90.27,0
Social Choice and Welfare,2015, , , ,75,0,0,0
Affilia - Journal of Women and Social Work,1997, , , ,78,50,56,10
Affilia - Journal of Women and Social Work,1998, , , ,64,45,60,4.44
Affilia - Journal of Women and Social Work,1999,0.207,0.234,0.303,71,61,65.57,3.28
Affilia - Journal of Women and Social Work,2000,0.226,0.304,0.607,76,35,31.43,14.29
Affilia - Journal of Women and Social Work,2001,0.143,0.19,0.353,84,52,63.46,1.92
Affilia - Journal of Women and Social Work,2002,0.629,0.516,0.565,126,46,47.83,41.3
Affilia - Journal of Women and Social Work,2003,0.284,0.385,0.454,122,66,57.58,21.21
Affilia - Journal of Women and Social Work,2004,0.177,0.176,0.317,120,60,60,36.67
Affilia - Journal of Women and Social Work,2005,0.259,0.282,0.479,147,65,58.46,32.31
Affilia - Journal of Women and Social Work,2006,0.333,0.385,0.598,180,62,51.61,12.9
Affilia - Journal of Women and Social Work,2007,0.277,0.286,0.442,170,43,32.56,4.65
Affilia - Journal of Women and Social Work,2008,0.406,0.494,0.607,244,52,44.23,3.85
Affilia - Journal of Women and Social Work,2009,0.348,0.451,0.576,248,44,34.09,0
Affilia - Journal of Women and Social Work,2010,0.449,0.671,0.812,293,53,45.28,1.89
Affilia - Journal of Women and Social Work,2011,0.411,0.674,0.636,350,66,69.7,12.12
Affilia - Journal of Women and Social Work,2012,0.386,0.73,0.996,377,41,58.54,4.88
Affilia - Journal of Women and Social Work,2013,0.379,0.72,1.015,454,38,60.53,47.37
Affilia - Journal of Women and Social Work,2014, , , ,314,31,93.55,61.29
Affilia - Journal of Women and Social Work,2015, , , ,31,0,0,0
Child and Adolescent Social Work Journal,1996, , , ,106,38,26.32,2.63
Child and Adolescent Social Work Journal,1997, , , ,94,33,33.33,18.18
Child and Adolescent Social Work Journal,1998, , , ,113,37,40.54,18.92
Child and Adolescent Social Work Journal,1999,0.339,0.451,0.694,159,29,27.59,10.34
Child and Adolescent Social Work Journal,2000,0.259,0.342,0.646,151,30,20,10
Child and Adolescent Social Work Journal,2001,0.186,0.203,0.417,153,30,26.67,13.33
Child and Adolescent Social Work Journal,2002,0.186,0.169,0.169,166,30,20,0
Child and Adolescent Social Work Journal,2003,0.233,0.296,0.405,207,41,34.15,36.59
Child and Adolescent Social Work Journal,2004,0.207,0.253,0.253,179,45,26.67,20
Child and Adolescent Social Work Journal,2005,0.253,0.357,0.432,251,29,24.14,24.14
Child and Adolescent Social Work Journal,2006,0.284,0.429,0.505,344,37,24.32,16.22
Child and Adolescent Social Work Journal,2007,0.247,0.244,0.324,342,31,3.23,0
Child and Adolescent Social Work Journal,2008,0.24,0.364,0.337,396,44,27.27,0
Child and Adolescent Social Work Journal,2009,0.308,0.51,0.395,479,45,31.11,0
Child and Adolescent Social Work Journal,2010,0.252,0.52,0.444,514,29,17.24,13.79
Child and Adolescent Social Work Journal,2011,0.38,0.794,0.542,590,29,27.59,6.9
Child and Adolescent Social Work Journal,2012,0.279,0.62,0.467,630,30,30,3.33
Child and Adolescent Social Work Journal,2013,0.269,0.586,0.386,664,30,60,6.67
Child and Adolescent Social Work Journal,2014, , , ,470,55,96.36,5.45
Child and Adolescent Social Work Journal,2015, , , ,22,6,100,0
Children and Schools,1996, , , ,0,0,0,0
Children and Schools,1997, , , ,0,0,0,0
Children and Schools,1998, , , ,0,0,0,0
Children and Schools,1999, , , ,0,0,0,0
Children and Schools,2000, , , ,0,6,16.67,0
Children and Schools,2001, , , ,0,23,4.35,0
Children and Schools,2002, , , ,3,21,14.29,0
Children and Schools,2003, , , ,9,21,19.05,0
Children and Schools,2004, , , ,9,23,13.04,0
Children and Schools,2005, , , ,48,28,7.14,28.57
Children and Schools,2006,0.164,0.375,0.441,65,30,10,30
Children and Schools,2007,0.281,0.347,0.433,94,31,32.26,25.81
Children and Schools,2008,0.498,0.589,0.639,143,24,8.33,33.33
Children and Schools,2009,0.374,0.588,0.8,190,29,24.14,10.34
Children and Schools,2010,0.391,0.529,0.495,253,27,22.22,22.22
Children and Schools,2011,0.325,0.522,0.684,296,27,37.04,14.81
Children and Schools,2012,0.326,0.347,0.434,290,28,75,7.14
Children and Schools,2013,0.443,0.493,0.503,287,20,75,15
Children and Schools,2014, , , ,220,26,96.15,7.69
Children and Schools,2015, , , ,18,0,0,0
Families in Society,1996, , , ,189,92,42.39,10.87
Families in Society,1997, , , ,266,109,44.04,4.59
Families in Society,1998, , , ,283,90,40,10
Families in Society,1999,0.484,0.623,0.894,329,111,39.64,1.8
Families in Society,2000,0.402,0.462,0.786,370,95,43.16,3.16
Families in Society,2001,0.361,0.426,0.664,347,80,27.5,20
Families in Society,2002,0.36,0.427,0.612,456,93,35.48,19.35
Families in Society,2003,0.361,0.503,0.795,452,81,28.4,32.1
Families in Society,2004,0.291,0.353,0.571,495,80,25,50
Families in Society,2005,0.354,0.425,0.627,543,80,25,36.25
Families in Society,2006,0.283,0.419,0.55,722,86,31.4,5.81
Families in Society,2007,0.349,0.475,0.696,794,76,14.47,11.84
Families in Society,2008,0.298,0.46,0.492,891,82,35.37,8.54
Families in Society,2009,0.337,0.432,0.444,929,99,48.48,0
Families in Society,2010,0.305,0.514,0.609,931,67,34.33,2.99
Families in Society,2011,0.286,0.469,0.477,980,65,33.85,10.77
Families in Society,2012,0.358,0.532,0.477,977,42,59.52,38.1
Families in Society,2013,0.265,0.461,0.563,928,19,47.37,5.26
Families in Society,2014, , , ,680,0,0,0
Families in Society,2015, , , ,41,0,0,0
Journal of Human Behavior in the Social Environment,1996, , , ,0,0,0,0
Journal of Human Behavior in the Social Environment,1997, , , ,0,0,0,0
Journal of Human Behavior in the Social Environment,1998, , , ,0,25,12,0
Journal of Human Behavior in the Social Environment,1999,0.746, , ,5,19,15.79,0
Journal of Human Behavior in the Social Environment,2000,0.383, , ,3,9,0,0
Journal of Human Behavior in the Social Environment,2001,0.121, , ,7,38,15.79,0
Journal of Human Behavior in the Social Environment,2002, , , ,29,44,18.18,0
Journal of Human Behavior in the Social Environment,2003, , , ,38,46,4.35,0
Journal of Human Behavior in the Social Environment,2004, , , ,51,40,0,0
Journal of Human Behavior in the Social Environment,2005, , , ,53,40,12.5,62.5
Journal of Human Behavior in the Social Environment,2006,0.126,0.128,0.404,135,34,26.47,8.82
Journal of Human Behavior in the Social Environment,2007,0.138,0.082,0.146,123,82,24.39,10.98
Journal of Human Behavior in the Social Environment,2008,0.151,0.148,0.21,162,47,29.79,0
Journal of Human Behavior in the Social Environment,2009,0.166,0.172,0.169,205,67,25.37,4.48
Journal of Human Behavior in the Social Environment,2010,0.19,0.271,0.29,217,62,19.35,0
Journal of Human Behavior in the Social Environment,2011,0.175,0.327,0.336,283,67,50.75,14.93
Journal of Human Behavior in the Social Environment,2012,0.246,0.386,0.357,419,69,62.32,10.14
Journal of Human Behavior in the Social Environment,2013,0.188,0.33,0.281,395,72,86.11,1.39
Journal of Human Behavior in the Social Environment,2014, , , ,367,97,92.78,1.03
Journal of Human Behavior in the Social Environment,2015, , , ,28,0,0,0
Journal of Progressive Human Services,1996, , , ,19,13,61.54,0
Journal of Progressive Human Services,1997, , , ,9,10,20,0
Journal of Progressive Human Services,1998, , , ,9,13,69.23,0
Journal of Progressive Human Services,1999, , , ,19,9,44.44,0
Journal of Progressive Human Services,2000, , , ,20,14,35.71,0
Journal of Progressive Human Services,2001, , , ,14,17,64.71,0
Journal of Progressive Human Services,2002, , , ,20,20,65,0
Journal of Progressive Human Services,2003, , , ,30,17,70.59,0
Journal of Progressive Human Services,2004, , , ,23,18,83.33,0
Journal of Progressive Human Services,2005, , , ,31,15,60,33.33
Journal of Progressive Human Services,2006,0.103,0.111,0.429,32,12,33.33,8.33
Journal of Progressive Human Services,2007,0.101,0.056,0.095,31,16,62.5,0
Journal of Progressive Human Services,2008,0.101,0,0,37,14,50,0
Journal of Progressive Human Services,2009,0.16,0.296,0.679,53,16,43.75,0
Journal of Progressive Human Services,2010,0.207,0.292,0.464,55,15,66.67,0
Journal of Progressive Human Services,2011,0.298,0.5,0.861,63,13,76.92,0
Journal of Progressive Human Services,2012,0.219,0.375,0.462,98,19,63.16,0
Journal of Progressive Human Services,2013,0.161,0.357,0.591,110,26,92.31,0
Journal of Progressive Human Services,2014, , , ,62,13,92.31,0
Journal of Progressive Human Services,2015, , , ,3,5,100,0
Journal of Psychosocial Oncology,1996, , , ,307,25,20,24
Journal of Psychosocial Oncology,1997, , , ,384,19,5.26,42.11
Journal of Psychosocial Oncology,1998, , , ,363,10,0,0
Journal of Psychosocial Oncology,1999,0.431,1.087,0.827,451,24,4.17,20.83
Journal of Psychosocial Oncology,2000,0.295,0.686,0.382,475,25,24,32
Journal of Psychosocial Oncology,2001,0.236,0.519,0.493,441,24,29.17,25
Journal of Psychosocial Oncology,2002,0.318,0.738,0.649,467,21,19.05,4.76
Journal of Psychosocial Oncology,2003,0.433,0.804,0.523,538,19,5.26,63.16
Journal of Psychosocial Oncology,2004,0.29,0.737,0.382,536,23,8.7,30.43
Journal of Psychosocial Oncology,2005,0.303,0.656,0.498,572,23,0,13.04
Journal of Psychosocial Oncology,2006,0.288,0.538,0.345,585,28,3.57,7.14
Journal of Psychosocial Oncology,2007,0.305,0.556,0.211,645,34,0,8.82
Journal of Psychosocial Oncology,2008,0.391,0.843,0.396,618,21,0,4.76
Journal of Psychosocial Oncology,2009,0.505,1.146,0.495,648,23,8.7,13.04
Journal of Psychosocial Oncology,2010,0.514,1.295,0.652,659,43,11.63,6.98
Journal of Psychosocial Oncology,2011,0.677,1.341,0.603,709,42,11.9,9.52
Journal of Psychosocial Oncology,2012,0.579,1.387,0.721,804,41,19.51,19.51
Journal of Psychosocial Oncology,2013,0.685,1.355,0.67,827,41,48.78,2.44
Journal of Psychosocial Oncology,2014, , , ,666,42,83.33,2.38
Journal of Psychosocial Oncology,2015, , , ,41,0,0,0
Journal of Technology in Human Services,1996, , , ,0,24,54.17,0
Journal of Technology in Human Services,1997, , , ,0,18,55.56,0
Journal of Technology in Human Services,1998, , , ,9,28,25,0
Journal of Technology in Human Services,1999,0.193,0.148,0.411,11,17,11.76,0
Journal of Technology in Human Services,2000,0.241,0.302,0.584,31,21,23.81,0
Journal of Technology in Human Services,2001,0.323,0.304,0.546,34,24,8.33,0
Journal of Technology in Human Services,2002,0.178,0.164,0.119,34,34,11.76,26.47
Journal of Technology in Human Services,2003,0.251,0.37,0.452,58,24,16.67,45.83
Journal of Technology in Human Services,2004,0.228,0.305,0.233,65,13,7.69,30.77
Journal of Technology in Human Services,2005,0.256,0.292,0.426,69,18,0,88.89
Journal of Technology in Human Services,2006,0.216,0.275,0.542,82,20,5,65
Journal of Technology in Human Services,2007,0.21,0.204,0.664,84,27,18.52,11.11
Journal of Technology in Human Services,2008,0.263,0.322,0.294,93,25,12,8
Journal of Technology in Human Services,2009,0.309,0.788,0.604,154,22,22.73,4.55
Journal of Technology in Human Services,2010,0.363,0.848,0.718,182,20,30,5
Journal of Technology in Human Services,2011,0.607,1.381,0.77,215,19,26.32,10.53
Journal of Technology in Human Services,2012,0.186,0.414,0.364,190,29,58.62,3.45
Journal of Technology in Human Services,2013,0.284,0.696,0.66,319,23,78.26,4.35
Journal of Technology in Human Services,2014, , , ,276,22,100,0
Journal of Technology in Human Services,2015, , , ,17,0,0,0
